feature_subset,pipeline,seed,n_features,distinct_train_vectors,runtime_sec,n_clusters,noise_ratio,ari,nmi,ami,macro_f1,silhouette,davies_bouldin,calinski_harabasz,selected_k,val_silhouette,selected_n_neighbors,selected_min_cluster_size,selected_min_samples,umap_fallback_ratio,selected_latent_dim
F4,A2,43,5,22,159.4,6,0.488,0.06059192561844559,0.1923422301360132,0.18680576831449813,0.2906146913309941,0.5681488513946533,0.7606504687396521,398.5810308248049,,0.5830013751983643,50.0,250.0,25.0,0.0,
F4,A2,44,5,22,154.21,18,0.21955555555555556,0.10539360378498211,0.2841970886017984,0.27269404585218743,0.3102079617992433,0.4891745448112488,0.8682698814758961,255.28536168331016,,0.5010807514190674,15.0,100.0,25.0,0.0,
F4,A3,42,5,22,4.85,7,0.0,0.4478763291184373,0.5608621191352273,0.557803175605787,0.4121835722107871,0.97770756483078,0.09104719955879163,161601.03430654417,7.0,0.9800978899002075,,,,0.0,4.0
F4,A3,43,5,22,5.06,8,0.0,0.4481786451933995,0.5612659258572918,0.5576892445485977,0.40987173620899153,0.9718001484870911,0.06728146031981631,125092.65914057942,8.0,0.9753904342651367,,,,0.0,2.0
F4,A3,44,5,22,5.01,10,0.0,0.4493052902486435,0.5809899327644347,0.5766621264975776,0.41018850300398446,0.97110915184021,0.10710102022672818,135584.15687499405,10.0,0.9706546068191528,,,,0.0,4.0
F6,A1,42,9,443,1.08,4,0.0,0.4842465696469736,0.6355628805087357,0.6341319377089348,0.4103725933685448,0.565161609372385,0.7475445943054544,982.6882743080074,4.0,0.563941476457121,,,,0.0,
F6,A1,43,9,443,0.89,4,0.0,0.4842465696469736,0.6355628805087357,0.6341319377089347,0.4103725933685448,0.565161609372385,0.7475445943054544,982.6882743080074,4.0,0.563941476457121,,,,0.0,
F6,A1,44,9,443,2.88,4,0.0,0.4842465696469736,0.6355628805087357,0.6341319377089348,0.4103725933685448,0.565161609372385,0.7475445943054544,982.6882743080074,4.0,0.563941476457121,,,,0.0,
F6,A2,42,9,443,114.14,4,0.4817777777777778,0.09586353527215999,0.20317260158920417,0.19927397885475182,0.28778165942613676,0.3927733898162842,1.1275729046996588,274.45431148055974,,0.4152344763278961,50.0,250.0,25.0,0.0,
F6,A2,43,9,443,116.1,15,0.4497777777777778,0.07472590116444304,0.2686949456762297,0.2576655243898471,0.2921473064833588,0.4651432931423187,0.8978224855942077,195.01359037324585,,0.4686899483203888,15.0,100.0,5.0,0.0,
F6,A2,44,9,443,110.88,19,0.21244444444444444,0.12611601494028174,0.3456261192029422,0.3349439494771424,0.33087506768685476,0.7025165557861328,0.5922393734186543,742.3942593792208,,0.7224118709564209,50.0,100.0,25.0,0.0,
F6,A3,42,9,443,8.56,10,0.0,0.4229290013053044,0.5831925892130204,0.5794182611860988,0.6364424451973664,0.7456855177879333,0.4483711704783195,3780.3817859261967,10.0,0.7334570288658142,,,,0.0,2.0
F6,A3,43,9,443,7.88,10,0.0,0.4192386573564628,0.5829828931692592,0.5792019510245668,0.6369322134323087,0.7279849052429199,0.44845909164436726,3660.5402185051034,10.0,0.7191275954246521,,,,0.0,2.0
F6,A3,44,9,443,8.67,10,0.0,0.38569228228413777,0.5554930252500385,0.5514803441451429,0.6060112669708175,0.7480965852737427,0.4544548308059878,3860.087284575701,10.0,0.7298069000244141,,,,0.0,2.0
F7,A1,42,9,268,1.22,8,0.0,0.4177439295042636,0.5769956451871489,0.5738743453110338,0.6260791208168986,0.5887888439166129,0.7895070242238675,1234.210019434823,8.0,0.5981842393449821,,,,0.0,
F7,A1,43,9,268,4.36,8,0.0,0.4177439295042636,0.5769956451871489,0.5738743453110338,0.6260791208168986,0.5887888439166129,0.7895070242238675,1234.210019434823,8.0,0.5981842393449821,,,,0.0,
F7,A1,44,9,268,4.25,8,0.0,0.4177439295042636,0.5769956451871489,0.5738743453110338,0.6260791208168986,0.5887888439166129,0.7895070242238675,1234.210019434823,8.0,0.5981842393449821,,,,0.0,
